Date,MANHATTAN_Crime_Cnt,BROOKLYN_Crime_Cnt,QUEENS_Crime_Cnt,BRONX_Crime_Cnt,STATEN_ISLAND_Crime_Cnt,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft,Manhattan rental price,Brooklyn rental price,Bronx rental price,Queens rental price,Staten Island rental price
2011-12,9735,12049.0,8019.0,9015.0,1800.0,1000.96,449.74418604651163,254.68421052631575,348.8474576271187,257.875,3034.115384615385,3034.115384615385,3034.115384615385,3034.115384615385,3034.115384615385
2012-01,9784,12629.0,8374.0,9234.0,1844.0,1005.04,450.0,252.84210526315792,347.4067796610169,256.9791666666667,3016.884615384615,3016.884615384615,3016.884615384615,3016.884615384615,3016.884615384615
2012-02,9181,11639.0,7733.0,8656.0,1977.0,1008.44,450.0,250.84210526315792,346.2542372881356,256.2291666666667,3021.4615384615386,3021.4615384615386,3021.4615384615386,3021.4615384615386,3021.4615384615386
2012-03,10389,13182.0,8258.0,9196.0,2176.0,1011.48,450.20930232558135,249.15789473684208,345.91525423728814,256.4791666666667,3022.8076923076924,3022.8076923076924,3022.8076923076924,3022.8076923076924,3022.8076923076924
2012-04,9964,12626.0,8145.0,8863.0,2007.0,1015.52,450.5813953488372,247.8947368421053,345.54237288135596,257.1666666666667,3040.4615384615386,3040.4615384615386,3040.4615384615386,3040.4615384615386,3040.4615384615386
2012-05,10633,13856.0,8778.0,9505.0,2093.0,1021.12,450.6976744186047,247.36842105263162,345.42372881355936,258.4791666666667,3052.8461538461543,3052.8461538461543,3052.8461538461543,3052.8461538461543,3052.8461538461543
2012-06,10174,13645.0,8575.0,8845.0,1968.0,1026.76,450.0,247.5263157894737,346.5254237288136,259.7916666666667,3058.9615384615386,3058.9615384615386,3058.9615384615386,3058.9615384615386,3058.9615384615386
2012-07,10636,14305.0,8989.0,9270.0,2037.0,1033.84,451.2325581395349,246.63157894736838,347.61016949152537,260.3541666666667,3069.3461538461543,3069.3461538461543,3069.3461538461543,3069.3461538461543,3069.3461538461543
2012-08,10869,14243.0,8731.0,9744.0,2006.0,1042.48,453.7674418604651,245.4736842105264,347.8983050847457,259.4583333333333,3096.0769230769233,3096.0769230769233,3096.0769230769233,3096.0769230769233,3096.0769230769233
2012-09,10196,13064.0,8277.0,9079.0,2027.0,1050.28,456.74418604651163,243.73684210526315,348.5084745762712,258.5208333333333,3126.730769230769,3126.730769230769,3126.730769230769,3126.730769230769,3126.730769230769
2012-10,9816,12960.0,8236.0,8841.0,2082.0,1055.8,460.53488372093017,242.0,349.5254237288136,257.9166666666667,3139.1538461538457,3139.1538461538457,3139.1538461538457,3139.1538461538457,3139.1538461538457
2012-11,8640,10967.0,7070.0,7594.0,1613.0,1061.56,465.3953488372093,243.4736842105264,351.01694915254234,257.2916666666667,3130.9615384615386,3130.9615384615386,3130.9615384615386,3130.9615384615386,3130.9615384615386
2012-12,9674,11686.0,8006.0,8131.0,1791.0,1069.4,469.0232558139535,247.05263157894737,352.77966101694915,256.7708333333333,3132.0769230769233,3132.0769230769233,3132.0769230769233,3132.0769230769233,3132.0769230769233
2013-01,9682,12063.0,8065.0,8428.0,1783.0,1076.84,471.25581395348837,249.36842105263162,354.22033898305085,256.7708333333333,3123.115384615385,3123.115384615385,3123.115384615385,3123.115384615385,3123.115384615385
2013-02,8575,10514.0,7037.0,7239.0,1446.0,1084.2,471.4186046511628,250.31578947368425,354.77966101694915,256.9166666666667,3115.0,3115.0,3115.0,3115.0,3115.0
2013-03,9600,11639.0,7955.0,8264.0,1775.0,1094.68,472.93023255813966,252.63157894736838,355.5593220338983,257.4166666666667,3101.9230769230767,3101.9230769230767,3101.9230769230767,3101.9230769230767,3101.9230769230767
2013-04,9578,12208.0,8087.0,8552.0,1737.0,1105.2,477.44186046511635,256.0,357.27118644067804,257.8541666666667,3120.6923076923076,3120.6923076923076,3120.6923076923076,3120.6923076923076,3120.6923076923076
2013-05,10291,12954.0,8719.0,8876.0,1870.0,1114.08,484.25581395348837,258.8947368421053,359.88135593220335,258.0833333333333,3163.1538461538457,3163.1538461538457,3163.1538461538457,3163.1538461538457,3163.1538461538457
2013-06,10031,12902.0,8419.0,8842.0,1889.0,1122.04,490.04651162790697,260.4736842105263,361.9152542372882,257.8541666666667,3202.769230769231,3202.769230769231,3202.769230769231,3202.769230769231,3202.769230769231
2013-07,10628,13484.0,9050.0,9273.0,1919.0,1131.68,495.3953488372093,260.5263157894737,363.3050847457627,258.375,3211.9230769230767,3211.9230769230767,3211.9230769230767,3211.9230769230767,3211.9230769230767
2013-08,10520,13349.0,8975.0,9399.0,2105.0,1143.56,501.11627906976736,260.6842105263158,365.23728813559325,259.5625,3192.115384615385,3192.115384615385,3192.115384615385,3192.115384615385,3192.115384615385
2013-09,10147,13215.0,8677.0,9063.0,2171.0,1158.4,507.81395348837214,261.0,367.27118644067804,260.4375,3203.5384615384614,3203.5384615384614,3203.5384615384614,3203.5384615384614,3203.5384615384614
2013-10,10090,13484.0,9231.0,9491.0,2136.0,1174.24,513.5348837209302,261.2105263157895,369.1525423728813,261.0,3233.6923076923076,3233.6923076923076,3233.6923076923076,3233.6923076923076,3233.6923076923076
2013-11,9330,12071.0,8651.0,8519.0,1955.0,1189.48,517.2558139534884,261.0526315789473,371.72881355932196,262.1666666666667,3271.615384615385,3271.615384615385,3271.615384615385,3271.615384615385,3271.615384615385
2013-12,9411,11842.0,8185.0,8220.0,1842.0,1204.36,520.7906976744188,261.10526315789474,374.77966101694915,263.3541666666667,3296.0,3296.0,3296.0,3296.0,3296.0
2014-01,8980,11658.0,8310.0,8496.0,1819.0,1216.24,525.6511627906976,259.7368421052632,377.4745762711864,263.2916666666667,3316.0384615384614,3316.0384615384614,3316.0384615384614,3316.0384615384614,3316.0384615384614
2014-02,8104,10408.0,7191.0,7313.0,1522.0,1224.8,530.1860465116279,257.8421052631579,379.98305084745766,263.6041666666667,3333.5,3333.5,3333.5,3333.5,3333.5
